Frequency - Phase	Phase - Phase
1000.5	69.1336
1000.69	28.4262
1001.57	28.5045
1003.2	152.035
1003.58	28.4854
1005.42	152.094
1005.6	28.5131
1006.43	28.5498
1007.62	28.5264
1008.64	28.4606
1009.61	28.4628
1010.54	28.4407
1011.52	28.5548
1013.36	151.953
1014.3	152.042
1014.63	28.516
1015.74	28.4862
1017.22	151.953
1017.53	28.4722
1018.63	28.4107
1019.61	28.4895
1021.32	152.109
1022.25	152.167
1022.55	28.4677
1023.55	28.5234
1024.52	28.5393
1025.54	28.487
1026.46	28.529
1028.3	152.15
1028.49	28.4817
1029.6	28.5374
1031.39	152.066
1031.58	28.5328
1032.82	28.3577
1034.3	152.036
1034.56	28.4944
1036.18	152.204
1036.5	28.4724
1037.52	28.4836
1038.58	28.4078
1039.41	28.4768
1040.65	28.4687
1042.38	152.134
1042.69	28.388
1043.72	28.4506
1044.65	28.3743
1046.47	152.143
1046.42	28.4964
1048.12	152.203
1049.59	152.139
1049.46	28.4649
1051.61	152.069
1051.63	28.4544
1053.38	152.19
1053.6	28.4674
1054.49	28.4105
1055.45	28.4391
1056.56	28.4872
1057.51	28.4824
1059.49	152.191
1060.59	152.174
1061.5	152.046
1061.71	28.4276
1062.64	28.37
1064.55	152.148
1064.68	28.4351
1065.57	28.3904
1066.52	28.4029
1067.73	28.4745
1068.64	28.3356
1069.7	28.4147
1070.47	28.4808
1072.38	152.304
1072.87	28.3529
1073.46	28.4235
1074.52	28.4185
1076.52	152.184
1077.4	152.229
1078.52	152.254
1078.7	28.3532
1079.58	28.4047
1080.65	28.3734
1081.68	28.3969
1082.54	28.3435
1083.61	28.4325
1084.68	28.3773
1085.66	28.38
1086.75	28.3714
1088.5	152.264
1088.8	28.3838
1089.73	28.3673
1091.5	152.091
1091.82	28.3562
1092.68	28.4076
1093.49	28.3798
1095.61	152.207
1096.54	152.223
1097.48	152.228
1097.66	28.3029
1099.44	152.282
1099.72	28.3655
1100.68	28.315
1101.72	28.3509
1102.88	28.3288
1103.76	28.2612
1104.59	28.379
1106.54	-207.713
1106.64	28.3066
1107.74	28.344
1108.88	28.289
1109.77	28.2384
1110.72	28.333
1111.65	28.3447
1113.5	-207.689
1114.39	-207.735
1114.74	28.2626
1115.75	28.2785
1117.48	-207.685
1117.69	28.3267
1118.95	28.2485
1120.34	-207.65
1120.9	28.2747
1122.53	-207.654
1122.95	28.2092
1123.74	28.2747
1124.95	28.2476
1126.41	-207.638
