Frequency - Phase	Phase - Phase
1000.5	68.8197
1000.69	27.9377
1001.57	27.9613
1003.2	151.502
1003.58	27.9799
1005.42	151.618
1005.6	28.0183
1006.43	28.0451
1007.62	28.0087
1008.64	27.9622
1009.61	27.9879
1010.54	27.9147
1011.52	27.9989
1013.36	151.44
1014.3	151.5
1014.63	28.0668
1015.74	27.9209
1017.22	151.375
1017.53	27.9637
1018.63	27.8796
1019.61	28.0224
1021.32	151.593
1022.25	151.618
1022.55	27.9197
1023.55	27.9359
1024.52	27.9839
1025.54	27.9879
1026.46	27.9743
1028.3	151.591
1028.49	27.9493
1029.6	28.0105
1031.39	151.591
1031.58	27.9552
1032.82	27.8667
1034.3	151.497
1034.56	27.8901
1036.18	151.626
1036.5	27.9226
1037.52	27.9594
1038.58	27.9343
1039.41	27.8962
1040.65	27.9489
1042.38	151.624
1042.69	27.8171
1043.72	28.0099
1044.65	27.879
1046.47	151.601
1046.42	27.9231
1048.12	151.606
1049.59	151.611
1049.46	27.9313
1051.61	151.594
1051.63	27.939
1053.38	151.658
1053.6	27.9367
1054.49	27.829
1055.45	27.9441
1056.56	27.9139
1057.51	27.877
1059.49	151.702
1060.59	151.661
1061.5	151.473
1061.71	27.8764
1062.64	27.8713
1064.55	151.63
1064.68	27.8803
1065.57	27.8423
1066.52	27.8241
1067.73	27.9746
1068.64	27.8301
1069.7	27.897
1070.47	27.8698
1072.38	151.777
1072.87	27.8464
1073.46	27.828
1074.52	27.8815
1076.52	151.657
1077.4	151.668
1078.52	151.73
1078.7	27.7968
1079.58	27.8238
1080.65	27.8109
1081.68	27.8962
1082.54	27.7798
1083.61	27.8356
1084.68	27.8558
1085.66	27.8685
1086.75	27.83
1088.5	151.714
1088.8	27.8294
1089.73	27.8037
1091.5	151.556
1091.82	27.7846
1092.68	27.8291
1093.49	27.7767
1095.61	151.665
1096.54	151.662
1097.48	151.702
1097.66	27.7702
1099.44	151.725
1099.72	27.7932
1100.68	27.7567
1101.72	27.732
1102.88	27.8286
1103.76	27.7272
1104.59	27.7555
1106.54	-208.282
1106.64	27.7505
1107.74	27.7502
1108.88	27.8003
1109.77	27.7006
1110.72	27.759
1111.65	27.7569
1113.5	-208.233
1114.39	-208.323
1114.74	27.6718
1115.75	27.7241
1117.48	-208.217
1117.69	27.7596
1118.95	27.7011
1120.34	-208.262
1120.9	27.7712
1122.53	-208.193
1122.95	27.6922
1123.74	27.71
1124.95	27.7201
1126.41	-208.193
1127.5	-208.213
1127.84	27.6865
1129.23	-208.165
1129.84	27.6196
1130.86	27.7002
1132.29	-208.118
1133.41	-208.224
1134.43	-208.247
1134.75	27.6676
1135.93	27.6619
1136.76	27.611
1137.95	27.6415
1138.94	27.6766
1139.91	27.6235
1141.04	27.6125
1141.94	27.6688
1142.7	27.6519
1143.99	27.6188
1144.83	27.6596
1146.22	27.643
1146.83	27.6322
1147.97	27.662
1148.88	27.6177
1149.93	27.6112
1150.98	27.6486
1152.42	-208.081
1152.91	27.6246
1153.84	27.6397
1155.32	-208.089
1155.97	27.5294
1157.06	27.565
1157.88	27.5321
1159.34	-208.236
1159.98	27.6183
1160.94	27.633
1162.03	27.5736
1163.04	27.5782
1163.95	27.5777
1165.23	-208.149
1165.85	27.6288
1167.22	-208.071
1168.01	27.5516
1169.25	-208.012
1170.27	-208.001
1171.13	27.49
1172.01	27.5523
1172.95	27.5082
1174.17	27.4786
1174.93	27.5858
1176.16	27.5032
1177.3	-207.937
1178.19	-208.072
