Frequency - Phase	Phase - Phase
998.419	131.676
1020.24	152.008
1040.3	152.02
1059.77	28.3784
1079.66	28.3678
1100.48	152.296
1119.79	28.2885
1139.77	28.2542
1159.97	28.1618
1179.98	28.1032
1200.13	-207.293
1220.25	-207.21
1240	27.9167
1260.15	-206.93
1280	-206.837
1299.93	28.0006
1320.09	-206.659
1340.11	28.8426
1359.9	28.9031
1380.08	28.8767
1400.01	28.8746
1420.12	28.9297
1440.02	28.9382
1459.95	152.549
1480.08	28.9412
1499.99	28.9623
1519.91	28.91
1540.08	152.573
1559.94	28.9121
1580.15	152.545
1600.04	28.9164
1619.96	28.9347
1640.1	152.569
1660.02	28.9488
1679.93	28.9478
1700.07	28.9957
1720.02	28.967
1740.09	28.9408
1760.07	28.9773
1780	28.9555
1800.12	28.8807
1820	28.9164
1840.01	28.9208
1860.04	-207.433
1880	28.9067
1900.15	28.9223
1920.03	29.0336
1940	28.9087
1960.01	-207.46
1979.98	28.9131
1999.89	28.9278
2020.13	152.477
2040.04	152.373
2060.08	28.8293
2079.98	28.8335
2099.95	28.8333
2120.04	28.7545
2140.01	28.8762
2159.9	28.7149
2180.16	28.6951
2200.01	28.7975
2220.15	28.6806
2240.13	28.6992
2260	152.247
2280.17	152.205
2300.05	28.6219
2319.94	28.4889
2340.04	28.5363
2359.99	28.5318
2380.14	28.3243
2400.01	28.273
2419.99	28.2465
2440.06	28.1916
2460.06	28.0657
2479.93	27.9883
2500.04	-208.557
2519.96	27.9412
2540.11	27.7041
2560.04	27.6934
2580.01	27.5459
2600.06	-209.08
2620.01	27.0725
2639.95	27.0308
2659.99	26.7547
2680.01	26.4398
2700.16	26.1561
2720.05	25.8144
2740.03	25.4106
2760.15	24.9927
2780.13	24.3191
2800.14	23.6553
2820.34	22.6149
2840.13	21.2411
2860.42	19.2514
2880.37	140.59
2900.44	19.1506
2919.89	29.743
2919.75	154.077
2959.16	42.9815
2979.34	44.4281
2999.3	168.579
3019.45	44.5367
3039.43	43.9879
3059.44	43.1024
3079.68	42.2368
3099.65	41.4085
3119.58	40.629
3139.78	-196.568
3159.69	39.2096
3179.72	-197.643
3199.85	38.2548
3219.8	37.8768
3239.91	37.4123
3259.89	37.1095
3279.82	36.7076
3300.01	36.5547
3319.94	36.2545
3339.84	35.9186
3360.04	35.7524
3380.01	35.6777
3400.15	158.929
3420.07	35.3167
3440	35.2215
3460.2	35.0519
3480.08	34.9565
3500	34.8503
3520.09	34.6447
3540.08	34.6851
3560.17	34.5406
3580.17	34.3358
3600.05	34.4366
3620.16	34.3956
3640.12	34.3143
3660.09	34.2047
3680.15	34.2095
3700.1	34.2347
3720.24	34.0622
3740.11	34.1364
3760.12	34.0105
3780.12	34.0083
3800.06	-202.44
3820	33.938
3840.18	33.8135
3860.17	33.8516
3880.22	33.8856
3900.1	33.7699
3920.02	33.805
3940.23	33.8269
3960.13	33.7598
3980.06	33.8651
4000.1	33.7549
4020.07	157.27
4040.11	33.8208
4059.99	33.807
4079.96	33.8093
4100.15	33.6896
4120.01	33.8137
4139.94	33.708
4160.1	33.611
4180.03	33.7546
4200.06	33.661
4220.02	33.7337
4239.98	33.7061
4260.12	157.254
4280	33.7558
4299.95	33.7348
4320.06	33.755
4340.01	33.586
4360.11	33.635
4380.01	33.6603
4399.99	33.7348
4420.08	33.8455
4440.01	33.7788
4459.96	33.8031
4480.1	33.7278
4500.02	33.7303
4520.1	33.8412
4540.05	33.6789
4559.95	33.7704
4580.1	33.7027
4600.02	33.7597
4619.94	33.7042
4640.07	33.8061
4659.91	33.8337
4680.18	33.7797
4700	33.8236
4720	33.7889
4740.12	33.8915
4760.02	33.7728
4780	33.9101
4800.08	33.8066
4820.04	33.8345
4840.09	33.8961
4860.03	33.8995
4880.07	33.8199
4900.09	33.8918
4920.01	33.9324
4939.97	33.8999
4960.08	33.9293
4979.99	33.9171
5000.09	33.9803
5020.07	33.9468
5040.01	34.032
5060.1	33.9451
5080.02	33.8195
5099.98	34.0091
5120.1	33.9662
5140.02	34.0259
5160.15	34.1093
5180.05	34.0883
5200.07	34.0624
5220.12	34.0388
5240.04	34.1015
5259.96	34.1349
5280.06	34.1023
5300.03	34.1126
5320.11	34.1271
5340.15	34.1333
5360.01	34.157
5380.16	34.1585
5400.08	34.2317
5420	34.2664
5440.08	34.2066
5460.01	34.3295
5480.15	34.3289
5500.09	34.1734
5520	34.2167
5540.15	34.2238
5560.1	34.2371
5580.02	34.3641
5600.13	34.3065
5620.01	34.3907
5640.11	34.3615
5660.1	34.3019
5680.06	34.2538
5700.06	34.4122
5720.05	34.4062
5739.95	34.4525
5760.11	34.427
5780.05	34.5136
5800.12	34.4366
5820.06	34.5741
5840.02	34.5068
5860.09	34.5141
5880.08	34.4836
5900	34.4825
5920.04	34.5408
5940.04	34.586
5960.18	34.6093
5980.09	34.6419
6000	34.6201
6020.11	34.639
6040.03	34.6553
6060	34.7376
6080.1	34.6574
6100.11	34.695
6119.95	34.7649
6140.15	34.8304
6160.02	34.7687
6180.19	34.7001
6200.1	34.8129
6219.99	34.8855
6240.1	34.8817
6259.97	34.7412
6279.99	34.8995
6300.11	34.9726
6320.05	34.809
6340.14	34.8101
6360.06	34.8974
6379.97	34.9174
6400.06	35.0008
6420.04	34.9635
6439.95	34.9893
6460.13	34.9691
6479.97	35.0283
6500.15	35.1199
6520.08	34.9962
6540.04	35.062
6560.09	35.0234
6580.07	35.0323
6599.93	35.1488
6620.1	35.1456
6640.01	35.0678
6660.1	35.2173
6680.02	35.1642
6700.07	35.192
6720.14	35.146
6740.04	35.1068
6759.96	35.3495
6780.11	35.2547
6800.06	35.23
6820.16	35.3492
6840.04	35.3945
6859.98	35.4103
6880.14	35.4498
6900.03	35.4323
6919.96	35.3468
6940.12	35.2317
6960.01	35.3022
6980.17	35.318
7000.09	35.3524
7019.99	35.5398
7040.09	35.4531
7060.04	35.4006
7079.88	35.5461
7100.13	35.4947
7119.99	35.4752
7140.15	35.5187
7160.1	35.497
7180.02	35.5481
7200.16	35.5417
7220.05	35.5365
7239.97	35.562
7260.08	35.7012
7280	35.6028
7300.12	35.5995
7320.11	35.6247
7339.98	35.7842
7360.13	35.6621
7380.03	35.7516
7399.99	35.7739
7420.03	35.7937
7440.02	35.8146
7460.12	35.9262
7480.08	35.9309
7499.99	35.8395
7520.18	35.821
7540.06	35.9567
7559.94	35.9934
7580.05	35.7945
7599.99	35.9564
7620.17	36.0074
7640.05	36.0521
7659.96	36.1131
7680.12	35.8446
7700.1	35.9786
7719.97	36.1653
7740.07	36.0102
7760.1	36.1783
7780.16	36.2011
7800.09	36.054
7820	36.1738
7840.16	36.1627
7860.02	36.2104
7880.01	36.1711
7900.12	36.1768
7919.99	36.245
7940.13	36.2895
7960.06	36.2858
7980.01	36.1603
8000.13	36.1962
8020.15	36.3029
8039.97	36.4201
8060.07	36.3563
8080.01	36.4381
8100.12	36.4991
8120.05	36.4942
8140.01	36.3909
8160.1	36.3082
8180.01	36.4929
8199.98	36.5192
8220.17	36.5688
8240.05	36.5389
8260.1	36.4721
8280.08	36.6613
8300.01	36.5257
8320.09	36.5513
8340.07	36.5791
8359.97	36.6077
8380.06	36.6298
8400.07	36.6511
8420.19	36.6946
8440.07	36.6751
8460	36.5462
8480.1	36.7249
8500.1	36.6615
8520	36.7699
8540.12	36.6651
8560.05	36.8155
8580.13	36.9426
8600.05	36.8791
8619.99	36.8457
8640.16	37.0312
8660.05	36.9761
8680.02	36.8496
8700.15	36.9073
8720.07	36.8849
8740.13	37.0018
8760.08	36.9284
8780.03	37.045
8800.16	37.0933
8820.05	37.0803
8840.01	37.0447
8860.1	37.0663
8880	37.1645
8900.21	36.9926
8920.08	37.1553
8940.05	37.0874
8960.15	37.148
8980.07	37.0845
8999.98	37.2204
9020.16	37.1645
9040	37.2765
9060.14	37.1967
9080.09	37.1872
9100.01	37.3815
9120.18	37.325
9140.06	37.3966
9160.04	37.1554
9180.11	37.3881
9200.08	37.3559
9219.94	37.2331
9240.07	37.4919
9259.93	37.3195
9280.14	37.4941
9300.05	37.4391
9320	37.3877
9340.11	37.3386
9360.11	37.3677
9379.96	37.5434
9400.12	37.5122
9420.03	37.6278
9440.12	37.5355
9460.1	37.7655
9479.99	37.5941
9500.1	37.65
9519.96	37.6698
9539.99	37.5496
9560.07	37.779
9580.01	37.7974
9600.19	37.6695
9620.1	37.7709
9640.02	37.7384
9660.12	37.759
9680.02	37.8436
9699.98	37.8151
9720.07	37.7606
9739.99	37.8482
9760.22	37.9552
9780.12	37.8194
9800.02	37.999
9820.19	38.066
9840.02	37.9465
9859.98	37.9433
9880.11	38.093
9900.01	38.0334
9920.14	37.9118
9940.07	38.0226
9959.98	38.0011
9980.06	38.0896
10000.1	38.139
10020	38.1833
10040.2	38.1453
10060	38.1457
10080.2	38.1562
10100.1	38.0619
10120	38.1411
10140.2	38.216
10160.1	38.2639
10180	38.2256
10200.1	38.2632
10220	38.3889
10240.2	38.319
10260.1	38.3682
10280	38.2175
10300.1	38.4198
10320.1	38.2912
10340	38.2965
10360.1	38.5264
10380.1	38.316
10400.2	38.3201
10420.1	38.4259
10440	38.4418
10460.2	38.4519
10480.1	38.4816
10500	38.5932
10520	38.4142
10540	38.5092
10560.2	38.411
10580.1	38.6797
10600	38.711
10620.2	38.6546
10640.1	38.5895
10660.1	38.7329
10680.1	38.6378
10700	38.8767
10720.2	38.6419
10740.1	38.6182
10760.1	38.7165
10780.1	38.7152
10800.1	38.7678
10820	38.7088
10840.2	38.819
