Frequency - Amplitude	Voltage amplitude - Amplitude
979.436	1.94604
1019.5	1.90104
1039.47	1.90082
1060.18	1.89914
1080.31	1.89851
1100.48	1.89822
1120.29	1.89741
1140.36	1.89761
1160.49	1.89708
1180.28	1.8971
1199.73	1.89688
1219.81	1.89633
1239.83	1.89602
1259.88	1.89571
1279.76	1.8952
1299.76	1.89473
1319.86	1.89409
1339.81	1.89344
1359.97	1.89301
1379.93	1.8921
1399.84	1.89158
1420.07	1.89073
1440	1.89056
1459.93	1.88964
1480	1.88896
1500.03	1.88807
1519.87	1.88742
1540.05	1.88671
1559.93	1.88529
1580.1	1.88477
1599.99	1.88394
1619.97	1.88296
1640.04	1.88147
1660.06	1.88025
1679.98	1.87945
1700.09	1.8781
1719.94	1.87702
1740.15	1.87556
1760.07	1.87383
1780.02	1.87241
1800.07	1.87083
1820.01	1.86896
1839.9	1.86724
1860.02	1.86521
1879.9	1.86334
1900.05	1.86088
1919.98	1.85804
1939.91	1.85581
1960.07	1.85306
1979.98	1.84999
1999.95	1.84692
2020.03	1.84345
2039.81	1.84009
2060.06	1.83631
2079.99	1.83219
2099.86	1.8277
2119.97	1.82277
2139.94	1.81758
2159.83	1.81171
2179.88	1.80574
2199.83	1.7987
2219.9	1.79132
2239.9	1.78322
2259.87	1.77404
2279.97	1.76432
2299.89	1.75365
2319.84	1.74198
2339.94	1.72864
2359.89	1.71373
2379.97	1.69711
2399.97	1.67897
2419.86	1.65833
2440.11	1.63522
2460.06	1.60864
2479.98	1.57967
2500.22	1.54575
2520.11	1.50804
2540.3	1.46456
2560.24	1.41611
2580.31	1.36087
2600.42	1.29861
2620.37	1.22999
2640.38	1.15342
2660.6	1.06887
2680.79	0.979469
2700.79	0.884065
2720.89	0.78636
2741.06	0.689353
2761.05	0.595773
2781.03	0.513623
2800.6	0.449977
2819.99	0.41318
2839.15	0.410799
2858.72	0.440212
2878.24	0.492648
2898.41	0.558043
2918.48	0.630676
2938.62	0.704723
2958.75	0.77738
2978.99	0.849079
2999.11	0.917055
3019.36	0.98154
3039.37	1.04125
3059.4	1.09783
3079.6	1.15061
3099.59	1.1994
3119.6	1.24461
3139.85	1.28721
3159.84	1.32618
3179.77	1.3619
3199.89	1.39543
3219.86	1.42629
3240.08	1.4549
3260.01	1.48145
3280.1	1.50558
3300.21	1.52843
3320.24	1.54947
3339.85	1.56878
3360.08	1.58701
3380.06	1.60377
3400.06	1.61965
3420.08	1.63379
3440	1.64744
3460.1	1.65977
3480.05	1.67156
3500.09	1.68232
3520.18	1.69296
3540.11	1.7024
3560.21	1.71144
3580.16	1.72011
3600.13	1.72787
3620.21	1.73533
3640.16	1.74206
3660.08	1.74886
3680.17	1.75497
3700.12	1.76084
3720.22	1.76659
3740.19	1.77181
3760.15	1.77656
3780.26	1.78107
3800.13	1.78543
3820.16	1.7897
3840.19	1.79381
3860.17	1.79741
3880.22	1.80118
3900.11	1.8043
3920	1.80738
3940.13	1.8104
3960.15	1.81359
3980	1.81642
4000.08	1.81943
4019.96	1.82197
4040.1	1.8239
4060.02	1.82628
4079.98	1.82827
4100.16	1.83073
4120.01	1.83282
4139.94	1.83479
4160.07	1.83638
4179.98	1.83824
4200.11	1.83989
4220.03	1.84132
4239.94	1.84296
4260.08	1.8446
4280.06	1.84624
4299.98	1.84737
4320.05	1.8487
4340.06	1.85015
4360.14	1.85133
4380.02	1.85268
4399.97	1.85373
4420.1	1.85482
4440.04	1.85583
4459.99	1.85724
4480.03	1.85822
4499.98	1.85892
4520.1	1.85991
4540.08	1.86057
4560.01	1.86144
4580.07	1.86256
4600.04	1.86311
4619.91	1.86409
4640.06	1.86497
4659.92	1.86561
4680.12	1.86648
4700.16	1.86714
4719.97	1.86761
4740.19	1.86841
4760	1.86877
4779.97	1.86963
4800.09	1.87014
4820	1.87077
4840.2	1.87112
4860.07	1.87174
4879.98	1.87287
4900.09	1.87292
4939.9	1.87367
4960.08	1.8745
4979.96	1.87459
5000.14	1.87525
5020.05	1.87594
5039.99	1.87597
5060.08	1.87656
5080.08	1.87729
