Frequency - Phase	Phase - Phase
979.436	122.099
1019.5	29.4032
1039.47	29.2709
1060.18	150.144
1080.31	150.255
1100.48	150.243
1120.29	-209.801
1140.36	-209.634
1160.49	-209.496
1180.28	-209.434
1199.73	28.9002
1219.81	28.7898
1239.83	28.7407
1259.88	28.7808
1279.76	28.7813
1299.76	28.7701
1319.86	28.6902
1339.81	29.6366
1359.97	150.361
1379.93	29.636
1399.84	29.6544
1420.07	150.456
1440	29.5972
1459.93	150.528
1480	29.6265
1500.03	150.526
1519.87	29.6578
1540.05	150.408
1559.93	29.6659
1580.1	29.6554
1599.99	150.455
1619.97	29.5575
1640.04	29.6581
1660.06	150.513
1679.98	29.6619
1700.09	29.7017
1719.94	29.627
1740.15	29.6616
1760.07	29.6862
1780.02	-209.508
1800.07	-209.426
1820.01	29.6151
1839.9	29.6776
1860.02	-209.475
1879.9	29.6004
1900.05	-209.474
1919.98	29.6314
1939.91	29.7833
1960.07	29.6202
1979.98	29.5991
1999.95	29.6293
2020.03	29.6325
2039.81	150.828
2060.06	29.6178
2079.99	29.6421
2099.86	29.6138
2119.97	29.6278
2139.94	150.535
2159.83	150.632
2179.88	29.569
2199.83	29.5748
2219.9	29.5981
2239.9	29.3608
2259.87	29.5866
2279.97	29.5899
2299.89	150.725
2319.84	29.5433
2339.94	29.4307
2359.89	29.4366
2379.97	150.791
2399.97	29.3
2419.86	29.3167
2440.11	29.3361
2460.06	29.3464
2479.98	29.2693
2500.22	-208.969
2520.11	29.2438
2540.3	29.3016
2560.24	29.0784
2580.31	-208.711
2600.42	-208.709
2620.37	28.9604
2640.38	28.8922
2660.6	-208.591
2680.79	151.564
2700.79	28.6473
2720.89	151.72
2741.06	28.6043
2761.05	28.6179
2781.03	28.6123
2800.6	28.4994
2819.99	28.5601
2839.15	28.69
2858.72	28.6159
2878.24	28.5164
2898.41	151.687
2918.48	28.5966
2938.62	28.71
2958.75	151.663
2978.99	151.602
2999.11	28.71
3019.36	151.544
3039.37	28.9041
3059.4	28.8702
3079.6	28.9883
3099.59	29.0047
3119.6	-208.758
3139.85	29.1625
3159.84	29.0865
3179.77	-208.692
3199.89	-208.691
3219.86	29.1522
3240.08	29.2374
3260.01	-208.902
3280.1	29.3147
3300.21	-208.925
3320.24	29.417
3339.85	29.4155
3360.08	29.3861
3380.06	29.3722
3400.06	29.4688
3420.08	29.5178
3440	29.4619
3460.1	29.4258
3480.05	29.4918
3500.09	29.4813
3520.18	29.6283
3540.11	29.5897
3560.21	29.5537
3580.16	29.5359
3600.13	29.5591
3620.21	29.5974
3640.16	29.6161
3660.08	29.7024
3680.17	150.827
3700.12	29.6423
3720.22	150.777
3740.19	29.7095
3760.15	29.6616
3780.26	29.6893
3800.13	29.6897
3820.16	29.6464
3840.19	29.7069
3860.17	29.6974
3880.22	29.6965
3900.11	29.6999
3920	-209.175
3940.13	29.8202
3960.15	29.7842
3980	29.7784
4000.08	29.7215
4019.96	150.733
4040.1	29.636
4060.02	29.8238
4079.98	29.7531
4100.16	29.8428
4120.01	29.7769
4139.94	29.6579
4160.07	150.733
4179.98	29.9182
4200.11	29.7312
4220.03	29.8353
4239.94	29.8442
4260.08	29.863
4280.06	29.7354
4299.98	29.8859
4320.05	29.7973
4340.06	29.7604
4360.14	29.8494
4380.02	29.7977
4399.97	29.6847
4420.1	29.851
4440.04	29.8313
4459.99	29.787
4480.03	29.7756
4499.98	29.8722
4520.1	29.9132
4540.08	29.9801
4560.01	29.7681
4580.07	29.7819
4600.04	29.9222
4619.91	29.8833
4640.06	29.8267
4659.92	29.909
4680.12	29.8724
4700.16	29.8358
4719.97	29.8884
4740.19	29.9274
4760	29.9656
4779.97	29.9288
4800.09	29.8986
4820	29.8613
4840.2	29.8805
4860.07	29.9911
4879.98	29.9581
4900.09	29.8425
4939.9	29.9518
4960.08	30.0191
4979.96	29.889
5000.14	29.9488
5020.05	150.787
5039.99	30.0253
5060.08	29.9243
5080.08	30.0018
5099.98	29.893
5120.08	29.9206
5140.04	30.0046
5160.1	29.9416
5180	30.0003
5199.98	30.0212
5220.15	30.0607
5240.04	29.9353
5260.02	-209.254
5280.05	29.9594
5300	29.9619
5320.01	30.0136
5340.06	30.0055
5360.04	29.973
5380.05	29.9402
5400.06	30.0902
5419.98	29.8915
5440.05	30.0137
5459.93	30.0159
5480.15	29.9707
5500.04	30.0748
5520.02	30.128
5540.11	29.9625
5560.05	29.9382
5579.99	150.843
5600.11	30.0719
5620.04	29.8946
