Frequency - Amplitude	Voltage amplitude - Amplitude
1801.42	1.98729
1800.96	1.98439
1801.95	1.98429
1803.13	1.98413
1803.93	1.98407
1805.16	1.98356
1806.08	1.9841
1806.94	1.98427
1808.13	1.98424
1809.08	1.98397
1809.97	1.98393
1811.09	1.98423
1812.01	1.98421
1812.93	1.98421
1814.04	1.9843
1815.03	1.98407
1816.16	1.98412
1817.04	1.98431
1817.9	1.98434
1819.13	1.98429
1820.02	1.98388
1820.96	1.98411
1822.07	1.98402
1823.06	1.98403
1824.17	1.9841
1825.06	1.98401
1825.94	1.98415
1827.07	1.98408
1828.08	1.98417
1828.94	1.98386
1830.04	1.9839
1831.03	1.98384
1831.92	1.98428
1833.06	1.98392
1834	1.98385
1835.12	1.9835
1836.06	1.98365
1836.96	1.98376
1838.05	1.98373
1839.02	1.98363
1839.93	1.9838
1841.05	1.98366
1842.04	1.98399
1843.13	1.98397
1844.08	1.98393
1845.02	1.98379
1846.12	1.98386
1847.05	1.98375
1847.93	1.98373
1849.11	1.98372
1849.97	1.9838
1850.92	1.98367
1852.05	1.98373
1853.05	1.98374
1854.15	1.98355
1855.04	1.98367
1855.99	1.98381
1857.08	1.98401
1858.03	1.98381
1858.91	1.98373
1860.05	1.9837
1860.97	1.9836
1862.1	1.98373
1863.05	1.9837
1863.93	1.98364
1865.14	1.98348
1866.02	1.98369
1866.97	1.98341
1868.05	1.98352
1868.98	1.98354
1869.92	1.98355
1871.07	1.98355
1872.06	1.98365
1873.08	1.98355
1874.02	1.98378
1875	1.98391
1876.09	1.98374
1876.99	1.98364
1877.95	1.98376
1879.07	1.98355
1880	1.98367
1881.1	1.98347
1882.08	1.98334
1882.96	1.98366
1884.09	1.98335
1885.03	1.98372
1885.94	1.98356
1887.11	1.98352
1887.95	1.98359
1888.9	1.9836
1890.05	1.9837
1890.93	1.9835
1892.16	1.98366
1893.04	1.98351
1894.04	1.98318
1895.05	1.98366
1896.02	1.98373
1896.92	1.98345
1898.04	1.98348
1898.98	1.9836
1900.11	1.98362
1900.98	1.98363
1901.94	1.98346
1903.12	1.98362
1904.02	1.98331
1904.94	1.98339
1906	1.9836
1907.04	1.98318
1907.99	1.98349
1909.06	1.98341
1909.98	1.98324
1911.11	1.9834
1912.11	1.9833
1913.04	1.98332
1914.12	1.98318
1916.01	1.98332
1917.13	1.98299
1917.97	1.98292
1919.12	1.98293
1920.07	1.98324
1920.98	1.98347
1922.14	1.98284
1922.99	1.98309
1923.93	1.98369
1925.05	1.98338
1925.96	1.98318
1927.09	1.98337
1928	1.98302
1928.93	1.98315
1930.13	1.98314
1931.07	1.98328
1931.93	1.98303
1933.13	1.98287
1934.06	1.98323
1934.92	1.98326
1936.07	1.98319
1936.88	1.98303
1938.2	1.98292
1939.92	1.98329
1941.07	1.98334
1942.04	1.98319
1943.06	1.98313
1944.01	1.983
1944.98	1.98297
1946.11	1.98283
1947.08	1.98309
1948.01	1.98285
1949.11	1.98275
1950.09	1.98305
1951.01	1.9827
1951.97	1.98308
1953.07	1.98279
1953.98	1.98276
1955.1	1.98271
1955.97	1.98292
1957.07	1.98291
1958.04	1.9828
1958.91	1.98302
1960.15	1.98295
1961.02	1.98279
1961.9	1.98273
1963.01	1.9829
1963.99	1.98269
1965.18	1.98311
1966.04	1.98284
1966.81	1.98291
1968.08	1.98287
1968.98	1.98293
1969.93	1.98306
1971.07	1.98286
1971.97	1.98291
1972.94	1.98294
1974.06	1.98289
1975.04	1.98256
1976.09	1.98298
1976.99	1.9826
1977.97	1.98247
1979.1	1.98268
1980.03	1.98283
1981	1.98274
1982.03	1.98288
1982.97	1.98283
1984.09	1.9829
1984.95	1.98304
1985.95	1.98277
1987.08	1.98289
1987.93	1.98287
1988.95	1.98274
1990.1	1.98274
1990.93	1.98236
1991.92	1.98239
1993.04	1.98279
1994.05	1.98263
1995.07	1.98289
1996.06	1.9825
1996.96	1.98277
1997.99	1.9825
1999	1.98253
1999.93	1.98249
2001.08	1.98243
2002.03	1.98274
2003.07	1.98261
2004.03	1.98248
2004.93	1.98259
2006.02	1.98236
2007.04	1.98238
2007.93	1.98242
2009.03	1.98236
2009.98	1.98237
2010.89	1.9821
2012.07	1.98268
2012.96	1.98248
2014.11	1.98241
2015	1.98235
2015.9	1.98229
2017.1	1.98241
2017.98	1.98229
2018.94	1.98242
2020.08	1.98239
2021	1.98242
2022.07	1.98203
2022.97	1.98203
2024.04	1.98247
2025.12	1.98227
2026.09	1.98222
2026.97	1.98199
2028.04	1.9824
2029.03	1.98225
2029.86	1.98232
2030.98	1.98215
2032.01	1.98221
2033.09	1.98198
2034.03	1.98226
2034.99	1.98233
2036.1	1.98218
2037.02	1.9822
2037.88	1.98213
2039.04	1.98223
2040.04	1.98189
2041.02	1.98209
2042.03	1.98194
2042.97	1.98242
2044.1	1.98183
2045.05	1.982
2045.93	1.9821
2047.02	1.98205
2047.95	1.98217
2049	1.9823
2050	1.982
2051.01	1.98189
2052.09	1.98181
2053.06	1.98173
2053.9	1.98204
2055.03	1.98184
2056.08	1.98215
2056.97	1.98191
2058.03	1.98186
2058.88	1.98182
2060.04	1.98193
2061.08	1.98165
2061.93	1.98179
2063.05	1.98185
2063.98	1.98174
2064.93	1.98158
2066.11	1.98169
2066.96	1.98185
2067.87	1.98204
2069.08	1.98178
2069.96	1.98196
2071.07	1.98158
2071.98	1.98177
2073	1.98188
2074.08	1.98168
2075	1.98199
2075.94	1.98168
2077.03	1.98194
2077.95	1.98169
2080	1.9818
2080.97	1.9818
2082.14	1.98178
2083.01	1.98166
2083.94	1.98179
2085.04	1.98159
2085.97	1.98163
2086.86	1.98147
2088.11	1.98159
2088.94	1.98148
2090.13	1.98153
2091.03	1.98155
2091.95	1.98151
2093.07	1.98149
2093.98	1.98149
2094.91	1.98153
2095.92	1.98146
2096.94	1.98141
2098.06	1.98156
2098.96	1.98147
2099.99	1.98133
2101.08	1.98143
2102.05	1.98151
2102.97	1.9814
2104.04	1.98115
2104.98	1.98104
2106.12	1.9813
2107.09	1.98148
2107.96	1.98131
2109.07	1.9813
2110	1.98122
2110.88	1.98111
2112.06	1.98147
2113	1.98116
2113.91	1.98098
2115.03	1.9811
2115.93	1.9813
2117.15	1.98145
2118.02	1.98115
2118.99	1.98131
2120.07	1.98091
2121	1.98118
2121.96	1.98087
2123.04	1.98119
2124.03	1.98092
2125.1	1.98101
2126.04	1.98126
2126.97	1.98112
2128.11	1.98095
2129.01	1.98091
2129.93	1.98114
2131.02	1.9808
2131.97	1.9809
2132.92	1.98081
2134.09	1.98053
