Frequency - Phase	Phase - Phase
1801.42	27.6488
1800.96	28.1267
1801.95	-208.71
1803.13	-208.724
1803.93	28.0789
1805.16	28.035
1806.08	-208.618
1806.94	28.0533
1808.13	28.0425
1809.08	28.0683
1809.97	28.0579
1811.09	28.0677
1812.01	28.0413
1812.93	28.0236
1814.04	28.0425
1815.03	28.0954
1816.16	28.0866
1817.04	-208.714
1817.9	-208.692
1819.13	-208.537
1820.02	27.9997
1820.96	-208.663
1822.07	-208.681
1823.06	27.9682
1824.17	-208.714
1825.06	28.016
1825.94	28.091
1827.07	-208.799
1828.08	27.9986
1828.94	28.0104
1830.04	-208.697
1831.03	28.0578
1831.92	28.1119
1833.06	28.114
1834	28.0053
1835.12	27.9983
1836.06	28.0042
1836.96	27.9995
1838.05	-208.727
1839.02	-208.725
1839.93	-208.737
1841.05	27.985
1842.04	28.0444
1843.13	27.9645
1844.08	27.9695
1845.02	-208.697
1846.12	27.9819
1847.05	28.0417
1847.93	-208.718
1849.11	-208.725
1849.97	27.9764
1850.92	-208.639
1852.05	27.953
1853.05	-208.884
1854.15	27.969
1855.04	27.9694
1855.99	-208.806
1857.08	27.9717
1858.03	27.9614
1858.91	27.9691
1860.05	-208.702
1860.97	-208.841
1862.1	27.9295
1863.05	-208.742
1863.93	27.9445
1865.14	27.9303
1866.02	27.9949
1866.97	27.9446
1868.05	27.9941
1868.98	28.0055
1869.92	28.0352
1871.07	-208.809
1872.06	27.9116
1873.08	-208.753
1874.02	-208.799
1875	-208.837
1876.09	-208.798
1876.99	-208.774
1877.95	-208.785
1879.07	-208.882
1880	-208.809
1881.1	27.9135
1882.08	27.9827
1882.96	27.9553
1884.09	27.8639
1885.03	-208.76
1885.94	-208.767
1887.11	27.9604
1887.95	27.9762
1888.9	-208.813
1890.05	27.9625
1890.93	27.9894
1892.16	27.9336
1893.04	27.901
1894.04	27.8438
1895.05	-208.876
1896.02	27.9409
1896.92	27.8774
1898.04	-208.806
1898.98	-208.828
1900.11	27.9429
1900.98	27.9504
1901.94	27.9799
1903.12	27.9132
1904.02	27.8891
1904.94	27.9005
1906	27.9281
1907.04	27.8562
1907.99	-208.892
1909.06	27.9252
1909.98	27.9214
1911.11	27.8878
1912.11	27.8384
1913.04	27.8428
1914.12	27.8307
1916.01	27.8876
1917.13	-208.957
1917.97	-208.794
1919.12	27.9058
1920.07	27.8789
1920.98	27.8277
1922.14	-208.867
1922.99	-208.828
1923.93	-208.961
1925.05	-208.928
1925.96	27.8507
1927.09	27.9049
1928	27.9462
1928.93	27.8337
1930.13	27.8441
1931.07	27.8637
1931.93	27.8379
1933.13	27.8036
1934.06	27.7957
1934.92	27.9187
1936.07	-208.829
1936.88	27.8401
1938.2	27.7979
1939.92	27.7999
1941.07	27.8509
1942.04	27.8601
1943.06	27.834
1944.01	27.8534
1944.98	-208.768
1946.11	-208.922
1947.08	27.7622
1948.01	27.8606
1949.11	27.7943
1950.09	-208.873
1951.01	27.7854
1951.97	27.843
1953.07	27.8067
1953.98	27.7948
1955.1	-208.866
1955.97	27.7854
1957.07	27.8183
1958.04	27.8202
1958.91	27.7746
1960.15	27.8218
1961.02	-208.928
1961.9	27.767
1963.01	-209.04
1963.99	-208.945
1965.18	-208.948
1966.04	-208.963
1966.81	-208.933
1968.08	-208.96
1968.98	27.7774
1969.93	-209.025
1971.07	27.8591
1971.97	27.7843
1972.94	-209.032
1974.06	27.5929
1975.04	27.7768
1976.09	-208.895
1976.99	-208.905
1977.97	27.8124
1979.1	-208.929
1980.03	27.7567
1981	-209.015
1982.03	27.7975
1982.97	-209.002
1984.09	-209.052
1984.95	27.7674
1985.95	-208.972
1987.08	-208.957
1987.93	27.738
1988.95	27.6726
1990.1	27.6919
1990.93	27.7142
1991.92	-209.043
1993.04	27.765
1994.05	27.7259
1995.07	27.7225
1996.06	27.7445
1996.96	-209.055
1997.99	27.7865
1999	27.6768
1999.93	27.7515
2001.08	150.985
2002.03	27.5628
2003.07	150.918
2004.03	27.7096
2004.93	150.946
2006.02	27.713
2007.04	27.7272
2007.93	27.7108
2009.03	151
2009.98	27.7394
2010.89	151.016
2012.07	27.6877
2012.96	27.6739
2014.11	27.7138
2015	27.7235
2015.9	27.7055
2017.1	27.6323
2017.98	27.7023
2018.94	27.6424
2020.08	27.6538
2021	27.6647
2022.07	27.7446
2022.97	150.976
2024.04	27.731
2025.12	27.6178
2026.09	27.6657
2026.97	27.6106
2028.04	27.6597
2029.03	150.881
2029.86	27.6344
2030.98	27.6963
2032.01	150.833
2033.09	27.5746
2034.03	27.6325
2034.99	150.907
2036.1	27.6092
2037.02	27.6501
2037.88	27.6224
2039.04	27.6312
2040.04	27.5815
2041.02	27.6437
2042.03	27.6563
