Frequency - Phase	Phase - Phase
1801.42	28.482
1800.96	28.5278
1801.95	-208.304
1803.13	-208.322
1803.93	28.469
1805.16	28.4507
1806.08	-208.193
1806.94	28.4376
1808.13	28.4686
1809.08	28.485
1809.97	28.4986
1811.09	28.4762
1812.01	28.4753
1812.93	28.4582
1814.04	28.4661
1815.03	28.5306
1816.16	28.5224
1817.04	-208.298
1817.9	-208.291
1819.13	-208.092
1820.02	28.4319
1820.96	-208.227
1822.07	-208.237
1823.06	28.4303
1824.17	-208.258
1825.06	28.4723
1825.94	28.5254
1827.07	-208.36
1828.08	28.4591
1828.94	28.4796
1830.04	-208.243
1831.03	28.5068
1831.92	28.5351
1833.06	28.5748
1834	28.4474
1835.12	28.4654
1836.06	28.4289
1836.96	28.4771
1838.05	-208.265
1839.02	-208.286
1839.93	-208.282
1841.05	28.477
1842.04	28.5216
1843.13	28.4344
1844.08	28.4455
1845.02	-208.189
1846.12	28.4636
1847.05	28.5222
1847.93	-208.235
1849.11	-208.225
1849.97	28.4578
1850.92	-208.155
1852.05	28.433
1853.05	-208.374
1854.15	28.4825
1855.04	28.4731
1855.99	-208.307
1857.08	28.4673
1858.03	28.4576
1858.91	28.4593
1860.05	-208.201
1860.97	-208.348
1862.1	28.4223
1863.05	-208.209
1863.93	28.4367
1865.14	28.4584
1866.02	28.52
1866.97	28.4511
1868.05	28.5171
1868.98	28.5024
1869.92	28.5183
1871.07	-208.293
1872.06	28.46
1873.08	-208.258
1874.02	-208.276
1875	-208.306
1876.09	-208.258
1876.99	-208.236
1877.95	-208.242
1879.07	-208.356
1880	-208.246
1881.1	28.4291
1882.08	28.5197
1882.96	28.5061
1884.09	28.4262
1885.03	-208.205
1885.94	-208.217
1887.11	28.5158
1887.95	28.5223
1888.9	-208.256
1890.05	28.5033
1890.93	28.5595
1892.16	28.5189
1893.04	28.4815
1894.04	28.4409
1895.05	-208.333
1896.02	28.503
1896.92	28.4612
1898.04	-208.213
1898.98	-208.259
1900.11	28.508
1900.98	28.5143
1901.94	28.5237
1903.12	28.5064
1904.02	28.472
1904.94	28.4786
1906	28.4928
1907.04	28.4468
1907.99	-208.276
1909.06	28.5329
1909.98	28.5125
1911.11	28.463
1912.11	28.4399
1913.04	28.4504
1914.12	28.4707
1916.01	28.5227
1917.13	-208.334
1917.97	-208.164
1919.12	28.5263
1920.07	28.4997
1920.98	28.4296
1922.14	-208.211
1922.99	-208.195
1923.93	-208.342
1925.05	-208.312
1925.96	28.467
1927.09	28.5185
1928	28.5631
1928.93	28.4596
1930.13	28.5095
1931.07	28.508
1931.93	28.4673
1933.13	28.4397
1934.06	28.4612
1934.92	28.5391
1936.07	-208.175
1936.88	28.4289
1938.2	28.4542
1939.92	28.4721
1941.07	28.5018
1942.04	28.5114
1943.06	28.5011
1944.01	28.493
1944.98	-208.103
1946.11	-208.265
1947.08	28.4439
1948.01	28.5204
1949.11	28.4751
1950.09	-208.21
1951.01	28.4793
1951.97	28.4981
1953.07	28.4925
1953.98	28.4834
1955.1	-208.173
1955.97	28.4834
1957.07	28.4855
1958.04	28.5064
1958.91	28.4363
1960.15	28.5439
1961.02	-208.255
1961.9	28.481
1963.01	-208.355
1963.99	-208.242
1965.18	-208.253
1966.04	-208.279
1966.81	-208.265
1968.08	-208.257
1968.98	28.5033
1969.93	-208.321
1971.07	28.5598
1971.97	28.5136
1972.94	-208.295
1974.06	28.3228
1975.04	28.4856
1976.09	-208.185
1976.99	-208.198
1977.97	28.5559
1979.1	-208.154
1980.03	28.488
1981	-208.271
1982.03	28.5346
1982.97	-208.267
1984.09	-208.325
1984.95	28.4943
1985.95	-208.227
1987.08	-208.175
1987.93	28.4805
1988.95	28.4476
1990.1	28.4639
1990.93	28.469
1991.92	-208.281
1993.04	28.5326
1994.05	28.4997
1995.07	28.502
1996.06	28.5246
1996.96	-208.263
1997.99	28.5595
1999	28.4479
1999.93	28.5393
2001.08	151.779
2002.03	28.3662
2003.07	151.711
2004.03	28.5185
2004.93	151.724
2006.02	28.4888
2007.04	28.5298
2007.93	28.5168
2009.03	151.808
2009.98	28.5567
2010.89	151.809
2012.07	28.5022
2012.96	28.4724
2014.11	28.5613
2015	28.5477
2015.9	28.5343
2017.1	28.4875
2017.98	28.5057
2018.94	28.4922
2020.08	28.4916
2021	28.4997
2022.07	28.5836
2022.97	151.805
2024.04	28.5843
2025.12	28.4784
2026.09	28.5223
2026.97	28.4805
2028.04	28.4894
2029.03	151.735
2029.86	28.4717
2030.98	28.5353
2032.01	151.705
2033.09	28.44
2034.03	28.5284
2034.99	151.769
2036.1	28.4972
2037.02	28.5443
2037.88	28.4934
2039.04	28.5185
2040.04	28.4764
2041.02	28.5279
2042.03	28.5455
2042.97	28.5563
2044.1	28.4659
2045.05	28.5027
2045.93	151.782
2047.02	151.696
2047.95	151.77
2049	28.4796
2050	28.485
2051.01	151.795
2052.09	28.555
2053.06	28.455
2053.9	28.5763
2055.03	28.524
2056.08	28.515
2056.97	151.792
2058.03	28.5261
2058.88	28.5191
2060.04	28.5305
2061.08	28.5156
2061.93	28.4732
2063.05	28.5242
2063.98	151.817
2064.93	28.5206
2066.11	28.447
2066.96	28.4989
2067.87	28.4571
2069.08	151.781
2069.96	28.4955
2071.07	28.4732
2071.98	151.744
2073	28.4674
2074.08	28.5586
2075	28.4644
2075.94	28.3463
2077.03	28.5228
2077.95	28.3722
2080	28.4003
2080.97	28.4569
2082.14	28.4711
2083.01	28.5325
2083.94	151.83
2085.04	28.5231
2085.97	28.5323
2086.86	28.5008
2088.11	151.834
2088.94	151.746
2090.13	28.5261
2091.03	28.5527
2091.95	28.5172
2093.07	151.719
2093.98	28.5113
2094.91	28.4964
2095.92	28.5548
2096.94	28.4882
2098.06	28.5267
2098.96	151.809
2099.99	28.513
2101.08	28.5954
2102.05	28.4261
2102.97	28.5398
2104.04	28.5983
2104.98	28.5344
2106.12	28.5243
2107.09	151.803
2107.96	151.827
2109.07	151.761
2110	28.3639
2110.88	28.5227
2112.06	28.5262
2113	151.868
2113.91	151.774
2115.03	28.4755
2115.93	28.4347
2117.15	28.4982
2118.02	28.5337
2118.99	28.5274
2120.07	28.5261
2121	151.712
2121.96	151.921
2123.04	28.386
2124.03	28.5043
2125.1	28.465
2126.04	28.459
2126.97	28.2808
2128.11	28.433
2129.01	28.583
2129.93	28.4919
2131.02	28.5238
2131.97	151.845
2132.92	28.4858
2134.09	28.4942
2135	151.757
2136.03	151.828
2137	28.5722
2138.03	28.5291
2139.02	28.5169
2140	28.5192
2140.93	151.782
2142.03	151.757
2142.98	28.5141
2144.1	28.491
2145.11	28.4742
2145.97	28.4635
2147.03	28.4553
2148.01	28.4513
2148.95	28.5032
2150.05	151.849
2150.97	28.5489
2151.91	28.4856
2153.03	28.5068
2153.96	28.4741
2155.07	151.712
2155.99	28.4387
2156.86	151.797
2158.07	28.4947
2158.93	28.5467
2159.95	28.5236
2161.09	28.4664
2161.96	28.4865
2163.17	28.5239
2164.03	28.5534
2164.98	28.4623
2166.07	151.764
2166.98	28.5417
2167.89	28.5323
2169.03	28.4501
2170.02	28.523
2170.98	28.506
2172.04	151.759
2172.97	151.783
