Frequency - Phase	Phase - Phase
1004.23	27.0582
1005.23	151.51
1009.49	28.1623
1015.24	151.423
1019.45	28.2947
1025.44	151.4
1030.34	151.514
1034.63	28.2033
1039.43	28.196
1045.16	151.566
1049.58	28.166
1054.5	28.1935
1059.63	28.1446
1064.47	28.1785
1069.59	28.1684
1074.65	28.1383
1079.6	28.1249
1085.52	151.48
1090.58	151.499
1095.65	151.506
1099.78	28.0354
1105.45	-208.419
1110.45	-208.47
1115.52	-208.404
1119.77	28.0023
1124.96	27.9642
1130.52	-208.476
1134.74	27.9234
1139.82	27.9016
1145.29	-208.27
1150.36	-208.196
1155.02	27.8225
1160	27.8475
1165	27.8591
1169.96	27.7825
1174.97	27.807
1180.31	-208.136
1184.94	27.6323
1190.19	-208.025
1195.17	-208.071
1199.94	27.6729
1204.97	27.6963
1210.14	27.6865
1215.06	27.6897
1220.11	27.6581
1225.18	27.5819
1230.05	27.6903
1234.89	27.6684
1239.85	27.6885
1245.01	27.4936
1250.11	-207.782
1255.19	-207.806
1260.22	-207.733
1265.11	-207.762
1270.15	-207.828
1274.98	27.6226
1280.07	27.5363
1285.07	27.5906
1290.3	-207.631
1295.07	-207.633
1299.95	27.6006
1304.88	27.5436
1310	27.6271
1315.05	27.5292
1320.1	27.5431
1325.2	-207.547
1329.96	27.5741
1335.05	151.612
1340.05	28.3992
1345.13	151.674
1350.1	28.4017
1355.17	151.633
1359.94	28.4638
1365.01	28.41
1369.94	28.4636
1375.01	28.3826
1380.06	28.4003
1385.13	151.618
1390.22	151.725
1394.96	28.3723
1400.07	28.1715
1405.03	28.3913
1410.09	28.4112
1415.04	28.4687
1420.07	151.651
1424.99	28.3919
1429.95	28.3465
1434.98	28.4435
1439.99	28.4089
1445.08	28.358
1450.01	28.4238
1454.92	28.2102
1459.97	151.626
1464.98	28.3464
1469.99	28.407
1475.01	28.2085
1480.01	28.3551
1485.14	151.503
1489.94	151.644
1494.95	151.563
1499.99	28.4179
1505.03	28.4011
1510.03	151.653
1515.05	151.584
1519.95	151.614
1524.95	151.644
1530.01	28.2863
1535.01	28.3099
1540.02	28.369
1545.03	151.612
1549.96	151.506
1554.92	151.609
1559.92	28.3943
1565.05	28.2458
1570.05	28.3135
1575.03	28.3055
1580.09	151.529
1584.93	28.285
1589.98	28.2628
1595	151.543
1600.03	28.2483
1605.06	151.675
1610.07	28.2977
1614.9	28.1633
1619.96	151.496
1625.01	28.2652
1630.06	151.522
1635.05	28.2241
1640.15	28.2874
1645.09	28.2846
1650.01	151.468
1654.97	28.2575
1659.95	28.19
1665	28.2177
1670.11	28.2052
1675.13	151.486
1679.94	151.529
1684.96	28.245
1690.04	28.1885
1695.03	151.465
1700.07	151.451
1705.11	151.367
1709.94	151.253
1714.96	28.2349
1720	28.2184
1725.04	28.2141
1730.03	28.1473
1735.06	28.1721
1740.15	28.1932
1744.95	28.1146
1750.05	151.306
1754.97	28.139
1760.01	28.1177
1765.04	28.077
1770.04	151.387
1774.94	28.0947
1779.98	28.0063
1785.05	28.0776
1790.06	-208.754
1795.1	-208.663
1800.11	28.0928
1805.12	-208.742
1809.96	28.1091
1814.93	28.0879
1820.07	28.0728
1825.06	28.008
1830.11	-208.67
1835.17	28.079
1839.96	27.9688
1844.95	28.0605
1850	27.9593
1855	27.9772
1860.08	28.0243
1865.17	27.8787
1869.91	-208.905
1879.96	27.9516
1885.04	27.9247
1890.04	27.982
1895.1	27.9647
1900.11	27.9332
1904.92	-208.819
1909.97	27.8818
1914.99	27.9513
1919.98	-208.971
1924.97	27.8534
1930.02	27.8693
1934.91	-208.93
1939.97	27.6593
1945	-208.959
1949.96	27.8274
1955.08	-208.966
1960.03	27.7732
1965.1	27.7872
1970.02	27.7098
1975	27.9203
1979.97	27.7575
1985.02	27.7221
1990.11	27.6682
1995.14	27.7737
1999.95	27.7527
2004.99	27.6344
2009.98	150.937
2015.01	27.6027
2020.13	150.917
2025.11	27.594
2029.86	27.652
2034.94	151.029
2040	150.854
2045.01	150.87
2050.05	150.838
2055.07	150.838
2060.09	27.5223
2064.94	27.5546
2069.99	150.748
2074.98	27.5224
2080.05	150.777
2085.04	27.4804
2090.12	27.4572
2094.82	27.4681
2099.99	27.4404
2104.99	150.586
2110.03	150.659
2115.11	150.529
2120.13	27.3631
2125.14	27.3879
2129.96	27.4391
2135	150.611
2139.99	27.3047
2145.04	150.695
2150.13	27.1263
2155.11	27.212
2159.92	27.2581
2164.95	27.2698
2169.92	27.2356
2174.96	27.2213
2180.08	27.1574
2185.03	150.416
2189.92	27.0829
2194.88	27.1067
2200	27.1408
2205	27.0667
2210.02	27.0419
2215.07	27.0696
2220.08	150.249
2224.96	150.126
2229.96	27.0063
2235	26.8005
2240.04	26.8903
2245.03	26.9328
2250.1	26.8943
2254.91	26.902
2259.96	26.8775
2264.93	26.6687
2270	26.7845
2275.02	26.6823
2280.07	26.5961
2285.04	26.6885
2289.88	149.904
2295.01	26.6119
2299.95	26.6628
2304.99	149.888
2310.02	26.6047
2315.05	26.5645
2319.89	26.5218
2324.93	149.77
2329.92	149.653
2334.97	26.4594
2340.03	149.603
2345.08	149.607
2349.95	26.2578
2354.89	149.546
2359.95	26.2193
2364.99	26.2106
2370.02	26.1586
2375.01	26.1386
2380.13	26.0405
2384.93	25.9666
2389.94	26.0243
2394.96	26.0242
2400.02	149.191
2405.07	25.902
2410.01	25.8634
2414.84	149.03
2419.99	25.7259
2425.01	25.7796
2430.02	25.6143
2435.01	25.659
2440	25.5751
2444.92	25.6101
2449.89	-211.301
2454.94	25.4117
2459.95	-211.337
2465.01	-211.526
2470	25.2407
2475.05	25.2571
2479.95	25.1213
2484.94	25.0676
2489.94	25.0342
2494.98	24.9326
2500.07	24.8024
2505.03	24.8945
2509.85	24.8173
2514.93	-211.96
2519.97	24.6177
2524.98	24.6202
2530.03	-212.335
2535.08	-212.295
2540.1	24.2352
2544.99	24.2481
2549.94	-212.618
2554.98	23.9738
2560.01	24.076
2565.02	23.9717
2570.06	-213.065
2574.92	23.7702
2580	-212.967
2584.95	23.5178
2590.06	23.4237
2595.06	23.4519
2600.1	-213.481
2604.95	23.1268
2609.99	23.0903
2615	22.9017
2619.97	22.7631
2625.11	22.6115
2630.06	22.494
2635.12	22.4496
2639.91	22.3279
2645.03	22.0912
2650.13	21.918
2655.1	-214.899
2660.1	21.6776
2665.13	21.3741
2669.95	21.1935
2674.98	21.0864
2680.08	20.9833
2685.12	20.7207
2690.22	20.5467
2695.25	20.3405
2700.33	20.0483
2705.08	19.8285
2710.1	142.697
2715.22	142.565
2720.28	19.0425
2725.31	18.7556
2730.36	18.3363
2735.18	18.0612
