Frequency - Phase	Phase - Phase
1004.23	28.2311
1005.23	151.399
1009.49	28.0453
1015.24	151.349
1019.45	28.1734
1025.44	151.354
1030.34	151.452
1034.63	28.1167
1039.43	28.149
1045.16	151.395
1049.58	28.0861
1054.5	28.0839
1059.63	28.1202
1064.47	27.989
1069.59	28.064
1074.65	28.088
1079.6	28.0567
1085.52	151.414
1090.58	151.454
1095.65	151.447
1099.78	27.9561
1105.45	151.536
1110.45	-208.534
1115.52	-208.432
1119.77	27.9824
1124.96	27.9214
1130.52	-208.544
1134.74	27.862
1139.82	27.7913
1145.29	-208.341
1150.36	-208.22
1155.02	27.7791
1160	27.7431
1165	27.7921
1169.96	27.7209
1174.97	27.7317
1180.31	-208.137
1184.94	27.5568
1190.19	-208.103
1195.17	-208.145
1199.94	27.6276
1204.97	27.661
1210.14	27.6999
1215.06	27.6917
1220.11	27.6714
1225.18	27.5665
1230.05	27.6034
1234.89	27.6334
1239.85	27.6207
1245.01	27.4724
1250.11	-207.811
1255.19	-207.839
1260.22	-207.733
1265.11	-207.744
1270.15	-207.81
1274.98	27.5849
1280.07	27.5292
1285.07	27.5884
1290.3	-207.612
1295.07	-207.621
1299.95	27.5934
1304.88	27.5285
1310	27.6142
1315.05	27.5728
1320.1	27.5396
1325.2	-207.517
1329.96	27.6107
1335.05	151.628
1340.05	28.4214
1345.13	151.714
1350.1	28.4217
1355.17	151.666
1359.94	28.4502
1365.01	28.419
1369.94	28.4796
1375.01	28.4126
1380.06	28.448
1385.13	151.654
1390.22	151.791
1394.96	28.4207
1400.07	28.2243
1405.03	28.4193
1410.09	28.4754
1415.04	28.4858
1420.07	151.694
1424.99	28.4303
1429.95	28.4077
1434.98	28.5137
1439.99	28.462
1445.08	28.4026
1450.01	28.4503
1454.92	28.2785
1459.97	151.702
1464.98	28.4221
1469.99	28.4649
1475.01	28.2847
1480.01	28.4247
1485.14	151.625
1489.94	151.743
1494.95	151.674
1499.99	28.4902
1505.03	28.5104
1510.03	151.747
1515.05	151.687
1519.95	151.758
1524.95	151.765
1530.01	28.427
1535.01	28.4436
1540.02	28.4747
1545.03	151.756
1549.96	151.645
1554.92	151.738
1559.92	28.525
1565.05	28.4168
1570.05	28.4652
1575.03	28.4515
1580.09	151.703
1584.93	28.4436
1589.98	28.441
1595	151.737
1600.03	28.4248
1605.06	151.836
1610.07	28.4729
1614.9	28.3854
1619.96	151.693
1625.01	28.4755
1630.06	151.728
1635.05	28.4473
1640.15	28.5224
1645.09	28.5051
1650.01	151.724
1654.97	28.5011
1659.95	28.3953
1665	28.4388
1670.11	28.4659
1675.13	151.734
1679.94	151.784
1684.96	28.5234
1690.04	28.4581
1695.03	151.735
1700.07	151.716
1705.11	151.635
1709.94	151.532
1714.96	28.5469
1720	28.5299
1725.04	28.5252
1730.03	28.465
1735.06	28.4699
1740.15	28.5327
1744.95	28.4523
1750.05	151.666
1754.97	28.4858
1760.01	28.4659
1765.04	28.4334
1770.04	151.734
1774.94	28.4816
1779.98	28.4061
1785.05	28.4738
1790.06	-208.339
1795.1	-208.277
1800.11	28.4864
1805.12	-208.313
1809.96	28.5404
1814.93	28.5168
1820.07	28.5203
1825.06	28.4536
1830.11	-208.199
1835.17	28.5352
1839.96	28.4264
1844.95	28.5349
1850	28.4497
1855	28.4568
1860.08	28.5258
1865.17	28.414
1869.91	-208.394
1879.96	28.4787
1885.04	28.4772
1890.04	28.5216
1895.1	28.5595
1900.11	28.474
1904.92	-208.264
1909.97	28.4763
1914.99	28.5749
1919.98	-208.34
1924.97	28.4738
1930.02	28.4853
1934.91	-208.294
1939.97	28.3117
1945	-208.283
1949.96	28.5076
1955.08	-208.286
1960.03	28.4399
1965.1	28.5042
1970.02	28.4566
1975	28.6717
1979.97	28.4915
1985.02	28.4669
1990.11	28.426
1995.14	28.5683
1999.95	28.5358
2004.99	28.4403
2009.98	151.755
2015.01	28.4448
2020.13	151.772
2025.11	28.4509
2029.86	28.49
2034.94	151.904
2040	151.719
2045.01	151.74
2050.05	151.759
2055.07	151.777
2060.09	28.4697
2064.94	28.4963
2069.99	151.748
2074.98	28.4849
2080.05	151.793
2085.04	28.5098
2090.12	28.5317
2094.82	28.475
2099.99	28.5004
2104.99	151.652
2110.03	151.752
2115.11	151.663
2120.13	28.4893
2125.14	28.5302
2129.96	28.6006
2135	151.785
2139.99	28.4989
2145.04	151.905
2150.13	28.3954
2155.11	28.4658
2159.92	28.5174
2164.95	28.5516
2169.92	28.4974
2174.96	28.5135
2180.08	28.5117
2185.03	151.758
2189.92	28.466
2194.88	28.5124
2200	28.5655
2205	28.4881
2210.02	28.5158
2215.07	28.5711
2220.08	151.76
2224.96	151.691
2229.96	28.5543
2235	28.3713
2240.04	28.4913
2245.03	28.5699
2250.1	28.5363
2254.91	28.5774
2259.96	28.603
2264.93	28.3804
2270	28.5282
2275.02	28.453
2280.07	28.4182
2285.04	28.5187
2289.88	151.761
2295.01	28.5042
2299.95	28.5649
2304.99	151.824
2310.02	28.6088
2315.05	28.5614
2319.89	28.5509
2324.93	151.805
2329.92	151.759
2334.97	28.5963
2340.03	151.774
