Frequency - Phase	Phase - Phase
999.915	120.722
1020.4	151.874
1040.27	151.872
1059.43	29.4498
1079.57	29.386
1100.64	152.008
1119.73	29.2614
1139.85	29.1914
1160.37	-207.716
1180.07	29.1504
1200.1	-207.499
1220.25	-207.365
1240.02	29.1212
1260.27	-207.02
1280.06	29.0075
1299.87	29.1063
1320.18	-206.763
1339.91	30.1358
1359.98	29.9832
1380.08	152.594
1400.03	30.0579
1420.09	30.0355
1440.1	30.0248
1459.87	152.671
1480.1	30.1674
1499.99	152.616
1519.94	30.1769
1540.07	30.1929
1559.95	30.3596
1580.11	152.713
1600.05	30.2634
1619.96	30.2563
1640.13	152.767
1659.97	30.4288
1679.95	30.3078
1700.12	30.2978
1720	30.4744
1740.15	30.3284
1760.07	152.837
1780.02	30.4476
1800.11	30.3908
1820.03	-207.005
1839.98	30.6011
1860.09	30.4794
1879.96	30.5085
1900.07	-206.898
1920.08	30.6858
1939.93	-206.909
1960.17	30.6238
1979.91	30.6677
1999.96	30.6479
2019.99	30.7742
2040.02	30.6721
2060.09	153.265
2080	153.317
2099.96	30.7417
2120.09	30.8438
2140.04	30.8889
2159.93	30.8208
2180.04	153.488
2199.99	30.8268
2220.07	30.9584
2240.03	31.0026
2259.96	153.444
2280.08	31.0146
2300.01	31.0115
2319.94	31.0966
2340.05	153.493
2359.96	31.1016
2380.15	153.672
2400.07	153.449
2419.92	31.0312
2440.06	31.0701
2459.95	-206.38
2479.94	31.1592
2500.06	31.17
2520.04	31.2198
2540.17	31.2883
2560.1	-206.361
2580	31.1553
2600.1	31.1831
2620.02	-206.231
2639.93	31.2496
2660.09	31.3721
2680.04	31.3545
2700.08	153.793
2720.05	31.3835
2739.99	31.459
2760.11	31.5251
2779.98	31.5395
2799.96	153.911
2820.03	154.068
2840.01	31.4147
2860.12	31.6372
2880.04	31.5993
2900	31.5839
2920.02	153.994
2940.02	31.7073
2959.92	31.7063
2980.07	31.727
2999.97	31.704
3020.12	154.174
3040.05	154.082
3060.02	31.7167
3080.11	31.8082
3100.04	31.7783
3119.91	31.8647
3140.04	31.7869
3160.02	31.8315
3179.93	31.8187
3200.12	31.876
3220.03	-205.696
3240.15	31.9529
3259.99	-205.71
3279.88	32.0075
3300.07	32.0162
3320.02	32.0155
3340.01	32.1192
3360.01	32.1524
3380	32.0677
3400.06	154.416
3420.03	32.1142
3439.99	32.1529
3460.07	32.1881
3479.99	32.1885
3499.91	154.542
3520.04	32.2134
3539.99	32.2257
3560.11	32.2284
3580.08	32.2921
3599.99	32.2933
3620.07	32.2475
3639.96	32.3568
3659.94	32.3417
3680.1	32.4111
3699.99	32.3299
3720.11	32.3803
3740.01	32.4035
3759.96	32.431
3780.08	-205.145
3800.03	32.4706
3819.98	32.3404
3840.13	32.5303
3859.98	32.5003
3880.12	32.4355
3900.11	32.5247
3920.01	32.6022
3940.09	32.663
3960.02	32.6309
3979.99	32.6758
4000.1	32.616
4020.05	32.7192
4040.11	32.715
4060.06	32.7461
4080.05	32.7731
4100.16	32.7961
4120.01	155.271
4139.92	32.8761
4160.13	32.7633
4179.99	32.9275
4200.11	32.9389
4220.07	32.8095
4239.98	32.9043
4260.1	32.7991
4280.07	32.9888
4299.97	32.8412
4320.07	33.1128
4340	33.071
4360.12	33.0131
4380.06	33.0385
4400	33.0735
4420.09	33.0935
4440.08	33.1154
4459.98	33.0886
4480.06	33.1898
4500.01	33.1308
4520.11	33.1802
4540.05	33.1934
4560.03	33.2031
4580.06	33.2708
4600	33.2805
4619.96	33.2755
4640.14	33.242
4660.02	33.3417
4680.11	33.2825
4700.06	33.4895
4720.06	33.3958
