Frequency - Phase	Phase - Phase
1800.03	132.827
1801.01	31.7383
1801.98	31.6877
1803.08	-208.268
1803.98	31.7198
1805.16	-208.138
1806.09	-208.276
1807.01	31.571
1808.12	-208.285
1809.04	31.6749
1809.96	31.7111
1811.09	-208.284
1812	31.5973
1812.93	31.7507
1814.14	31.7159
1814.98	31.7502
1816.09	31.7301
1817.05	-208.274
1817.96	-208.3
1819.08	31.6807
1820.07	31.6396
1820.96	31.779
1822.08	31.754
1823.05	31.5886
1824.1	31.59
1825.04	31.6641
1825.97	31.5702
1827.14	-208.293
1828.03	31.601
1828.96	31.6747
1830.11	31.6229
1831.05	31.6623
1831.98	-208.277
1833.08	31.6748
1834.04	31.7617
1835.11	31.6336
1836.01	31.6615
1836.94	-208.266
1838.16	-208.212
1838.96	31.7965
1840	31.782
1841.16	31.6039
1841.97	31.7555
1843.13	31.7807
1844.11	31.6606
1844.99	31.7253
1846.15	-208.247
1847.12	31.6091
1847.96	31.6771
1849.07	31.7404
1850.06	31.6826
1850.89	31.6415
1852.07	31.698
1853.04	-208.135
1854.06	31.6332
1855.07	31.6299
1855.99	31.7643
1857.15	-208.158
1858.05	31.6174
1858.96	31.7073
1860.04	-208.157
1860.98	-208.138
1862.13	31.6359
1863.11	31.6288
1864.09	-208.231
1865.13	31.5545
1866.01	-208.138
1866.95	31.6475
1868.08	31.6563
1869.05	31.7236
1869.92	31.7916
1871.04	31.6832
1871.93	31.6937
1873.1	31.6627
1874	31.6952
1875.02	-208.259
1876.04	31.7018
1877.12	-208.26
1878	31.7441
1879	31.7056
1879.99	31.8579
1881.16	31.7832
1882.06	31.7535
1883.02	31.7587
1884.16	-208.056
1885.05	31.6542
1885.97	-208.18
1887.14	31.7888
1888.02	31.6881
1888.92	31.6955
1890.07	31.8019
1890.98	31.607
1892.08	31.6768
1893	31.7417
1893.91	-208.143
1895.11	31.7752
1896.01	-208.185
1896.91	31.6869
1898.02	31.6603
1898.95	31.7518
1900.16	-208.2
1901.2	31.7226
1902.02	-208.162
1903.13	31.672
1904.1	31.819
1905	31.6964
1906.09	31.7174
1907.05	31.7992
1908.02	31.641
1909.02	31.7377
1910.06	31.6667
1911.02	31.7739
1912.02	-208.143
1913.01	31.8236
