Frequency - Phase	Phase - Phase
1800.14	31.2791
1801.98	31.3475
1804.03	31.2839
1806.09	31.2618
1808.13	-207.995
1810	31.2683
1812.02	31.276
1814.05	31.2898
1816.15	31.2799
1817.99	31.2865
1820.03	-207.726
1822.05	31.3299
1824.2	31.3597
1825.97	31.2961
1828.08	-207.727
1830.01	31.2066
1831.97	31.3045
1833.94	-207.813
1836.1	31.3368
1838.06	-207.867
1839.95	31.3945
1841.93	31.3656
1844.05	-207.865
1846.05	31.3222
1848.02	31.4214
1850	31.3108
1852.02	31.2274
1854.18	-207.73
1855.93	31.3349
1858.04	31.458
1860.03	31.3745
1862.16	31.3315
1863.95	-207.899
1866.02	31.4034
1868.13	-207.747
1869.88	31.3066
1871.96	31.3431
1874.06	31.3499
1876.14	31.3378
1877.98	31.3603
1880.05	31.3459
1882.09	31.3366
1884.1	31.3623
1886.01	31.4041
1887.93	31.3356
1890.07	31.3488
1892.06	-207.801
1893.9	31.4499
1896.02	31.4259
1898.02	31.412
1900.07	-207.752
1902.03	31.3999
1904.03	31.371
1906.08	31.3985
1907.91	-207.925
1909.98	31.3721
1911.98	31.4233
1913.99	31.4705
1915.96	31.3895
1918.03	31.3924
1919.95	31.4227
1922.14	-207.775
1923.94	31.5213
1925.97	31.3912
1928.05	31.396
1930.11	31.4084
1932.03	31.534
1934	31.3883
1936.05	31.3307
1938.06	-207.768
1940.02	31.4277
1941.99	31.5421
1944.08	31.3963
1946.05	-207.742
1947.97	31.5581
1950.07	31.4002
1952.15	-207.683
1953.95	31.5386
1956	31.6058
1958.13	31.3922
1960.11	31.4105
1961.85	31.4384
1964.04	31.3874
1966.07	31.4114
1968.19	-207.7
1970.04	31.4351
1972.01	31.5694
1974.07	31.471
1976.09	31.401
1977.96	31.3994
1979.96	31.634
1982.03	31.4898
1984	31.5294
1985.94	-207.671
1988.05	-207.609
1990.07	31.4933
1991.94	31.5015
1993.98	31.4847
1995.98	31.5108
1998.15	31.4651
1999.89	31.5804
2001.92	152.402
2004.03	31.4741
2006.03	152.296
2007.9	31.5196
2010	31.6267
2012.1	31.4758
2014.12	152.291
2015.98	152.408
2017.99	31.6426
2020.08	152.212
2022.09	31.5903
2023.92	31.5093
2026.08	31.579
2028.12	31.4829
2029.93	152.325
2032.08	31.4968
2034.04	31.5102
2036.08	152.37
2037.9	31.4761
2039.92	152.45
2042.05	31.5263
2044.1	31.4961
2045.98	31.5531
2047.97	152.337
2050.05	152.294
2052.02	31.5599
2053.9	152.296
2056.01	31.5314
2058.03	31.5786
2060.09	152.392
2061.96	152.347
2063.97	152.41
2066.09	152.399
2067.9	31.5472
2069.97	31.5348
2071.94	152.497
2074.09	31.561
2075.92	31.5602
2077.98	31.6332
2080.03	31.5912
2082.03	31.6031
2083.9	31.5636
2086.04	31.5384
2088.05	31.6563
2090.09	31.7275
2091.95	31.5801
2094.03	31.5623
2096.11	152.49
2098.17	31.5502
2099.98	31.5271
2102.03	31.5827
2104.03	152.491
2106.1	152.449
2108.01	31.7084
2110.07	31.5994
2112.07	31.5786
2113.9	31.616
2116.03	152.353
2117.97	31.5898
2120.12	152.399
2121.94	152.499
2124.02	31.6443
2125.99	31.6126
2128.09	31.5919
2129.91	31.6912
2131.96	152.479
2134.07	31.7221
2136.09	31.6344
2137.96	31.6997
2140.01	31.7209
2142.08	152.487
2144.1	31.663
2145.97	31.6355
2147.97	152.488
2150.07	31.7232
