Frequency - Amplitude	Voltage amplitude - Amplitude
1811.62	1.90132
1801.96	1.88023
1804	1.87999
1806.09	1.87952
1808.08	1.8795
1809.91	1.87935
1812.03	1.87904
1814.03	1.87868
1816.16	1.87863
1817.91	1.87861
1820.04	1.87837
1822.1	1.87817
1824.17	1.87764
1825.99	1.87783
1828.03	1.87746
1830.06	1.87753
1831.91	1.87741
1834.02	1.87706
1836.02	1.87684
1838.04	1.87688
1839.97	1.87667
1842	1.87653
1844.06	1.87634
1846.16	1.87597
1847.98	1.87595
1850.05	1.87564
1852.08	1.8755
1854.13	1.8751
1855.96	1.87516
1858.08	1.87463
1860.05	1.87464
1862.15	1.87424
1863.97	1.87436
1866.09	1.87408
1868.05	1.87391
1869.98	1.87363
1872.01	1.87375
1874.02	1.87315
1876.06	1.87303
1878.01	1.87255
1880.02	1.87249
1882.02	1.87245
1884.08	1.87188
1885.84	1.87211
1888.02	1.87145
1890.07	1.87118
1892.14	1.87104
1893.92	1.87112
1895.99	1.8707
1898.07	1.87032
1900.1	1.87018
1901.99	1.8699
1903.96	1.87003
1906.07	1.86988
1907.94	1.8696
1909.92	1.86919
1912.05	1.8689
1914.06	1.86857
1915.95	1.86866
1917.95	1.86814
1919.98	1.86794
1922.06	1.86797
1923.89	1.86751
1925.97	1.86735
1928	1.86724
1930.04	1.86675
1931.89	1.86638
1934.01	1.86626
1936.07	1.86601
1938.08	1.86569
1939.93	1.86537
1942.03	1.8655
1944.04	1.86503
1946.16	1.86491
1947.92	1.86441
1950	1.86447
1952	1.86414
1953.94	1.86387
1955.97	1.86356
1957.92	1.86312
1960.05	1.86257
1961.92	1.8624
1963.96	1.86235
1965.93	1.86211
1968.12	1.86167
1969.91	1.86152
1971.96	1.8612
1974.01	1.86098
1976.14	1.86066
1977.98	1.86034
1979.99	1.85981
1982.02	1.85963
1984.04	1.85979
1986.03	1.85921
1988.02	1.85923
1990	1.85867
1991.86	1.85814
1994.03	1.85797
1996.08	1.85765
1998.09	1.85724
1999.92	1.85725
2001.93	1.85687
2003.9	1.85632
2006.11	1.85623
2007.98	1.8557
2009.88	1.85541
2012	1.85504
2013.99	1.85494
2015.84	1.85458
2017.92	1.85413
2019.88	1.8535
2022.07	1.85341
2023.91	1.85329
2025.9	1.8529
2027.96	1.85267
2029.85	1.85208
2031.79	1.85163
2034.05	1.85129
2036.04	1.85138
2037.88	1.85078
2039.93	1.8504
2041.91	1.85021
2043.95	1.84965
2045.8	1.84923
2047.83	1.84888
2049.9	1.84848
2052.01	1.84805
2053.87	1.8477
2055.88	1.84764
2057.96	1.84677
2060.04	1.84677
2061.91	1.84638
2063.94	1.84587
2065.97	1.84558
2067.79	1.84529
2069.91	1.84488
2071.95	1.84429
2073.92	1.84341
2075.93	1.8435
2077.82	1.843
2079.89	1.84253
2082.02	1.84218
2083.85	1.8415
2085.95	1.84182
2087.94	1.84111
2090.01	1.84037
2091.78	1.8401
2093.86	1.83941
2095.93	1.83933
2098.08	1.83876
2099.91	1.83829
2102.02	1.838
2104.04	1.8374
2106.05	1.83723
2107.92	1.83675
2109.88	1.83606
2111.95	1.83558
2113.82	1.83506
2115.87	1.83442
2117.92	1.83405
2119.95	1.83362
2121.84	1.83325
2123.96	1.8328
2125.94	1.83216
2127.96	1.83162
2129.8	1.83102
2131.94	1.83064
2133.99	1.83004
2135.96	1.82962
2137.91	1.82914
2139.89	1.82859
2141.97	1.8279
2144	1.82732
2145.85	1.8271
2147.93	1.82623
2149.99	1.82578
2151.77	1.82495
2153.92	1.82437
2155.91	1.82414
2157.95	1.82341
2159.8	1.82294
2161.81	1.82247
2163.88	1.82156
2165.95	1.82133
2167.84	1.82063
2169.82	1.81995
2171.97	1.81941
2173.97	1.81878
2175.81	1.81827
2177.93	1.81755
2179.92	1.8173
2182.05	1.81644
2183.82	1.81576
2185.88	1.81515
2187.93	1.81444
2189.84	1.81393
2191.87	1.81294
2193.94	1.81248
2195.91	1.8118
2197.77	1.81135
2199.85	1.81038
2201.83	1.80982
2203.89	1.80919
2205.85	1.80827
2207.89	1.80762
2209.93	1.80709
2211.95	1.80594
2213.81	1.80539
2215.86	1.8046
2217.94	1.80389
2219.98	1.8032
2221.88	1.80256
2223.84	1.8017
2225.98	1.80065
2227.78	1.80053
2229.84	1.7993
2231.87	1.79856
2233.95	1.79777
2235.79	1.7969
2237.75	1.79601
2239.91	1.79536
2241.95	1.79444
2243.78	1.79367
2245.84	1.7926
2247.95	1.79221
2249.97	1.79151
2251.88	1.79047
2253.86	1.78945
2255.92	1.78851
2257.93	1.78753
2259.82	1.78723
2261.87	1.78581
2263.93	1.78487
2265.85	1.78391
2267.83	1.78299
2269.87	1.78189
2271.92	1.78125
2273.83	1.78019
2275.83	1.77926
2277.85	1.77849
2279.99	1.77745
2281.84	1.77621
2283.87	1.77516
2285.93	1.77424
2288.02	1.77328
2289.88	1.77191
2291.86	1.77093
2295.97	1.76891
2297.88	1.7677
2299.92	1.76719
2303.97	1.76469
2305.84	1.76333
2307.88	1.76215
2309.97	1.76092
2311.82	1.76013
2313.84	1.75877
2315.97	1.75776
2318	1.75634
2319.83	1.75525
2321.91	1.75416
2323.92	1.7527
2325.92	1.75143
2327.81	1.75036
2329.97	1.74917
2331.93	1.74767
2333.96	1.7464
2335.88	1.74512
2337.95	1.74368
2339.94	1.74251
2341.97	1.74105
2343.9	1.73982
2345.94	1.73859
2347.99	1.73659
2349.82	1.73564
2351.83	1.73424
2353.89	1.73219
2355.99	1.73115
2357.85	1.72975
2359.88	1.72823
2361.92	1.72674
2364	1.72495
2365.86	1.72342
2367.92	1.72194
2369.91	1.72023
2371.97	1.71872
2373.88	1.71715
2375.9	1.71557
2377.94	1.71399
2380.05	1.71199
2381.95	1.71064
2383.94	1.70886
2386.01	1.70719
2387.86	1.70516
2389.89	1.70356
2392	1.70143
2393.97	1.69985
2395.83	1.69786
2397.94	1.69604
2399.97	1.69414
2402.03	1.69217
2403.97	1.69031
2405.94	1.68849
2408.01	1.68641
2409.99	1.68448
2411.84	1.68272
2413.94	1.68031
2416.06	1.67818
2418.05	1.67603
2420	1.67387
2421.99	1.67192
2424.04	1.66962
2425.89	1.6675
2427.94	1.66541
2430.03	1.66327
2432.05	1.66091
2433.91	1.6589
2435.89	1.65627
2438.04	1.65385
2440.04	1.65119
2441.89	1.64935
2443.91	1.64663
2446.05	1.64415
2448.11	1.64161
2452.07	1.63684
2454.06	1.63398
2456.05	1.63144
2458.02	1.62879
2460.07	1.62572
2462.09	1.62316
2463.91	1.6208
2466.01	1.61803
2468	1.61498
2470.12	1.61203
2471.99	1.60937
2474.03	1.60634
2476.1	1.60322
2478.14	1.59996
2479.9	1.59725
2482.03	1.59428
2484.13	1.5909
2486.08	1.58772
2486.15	1.58745
2490.05	1.58116
2492.08	1.57799
2494.18	1.5744
2496.02	1.57125
2498.13	1.56786
2500.07	1.56439
2502.17	1.56078
2504.11	1.55734
2506.17	1.55379
2508.13	1.55019
2510.12	1.54653
2512.11	1.54295
2514.08	1.53887
2516.07	1.5352
2518.08	1.53112
2520.04	1.52716
2522.26	1.52305
2524.25	1.51906
2526.05	1.51532
2528.1	1.51099
2530.19	1.5068
2532.22	1.50262
2534.14	1.49831
2536.22	1.49402
2538.16	1.48973
2540.3	1.48507
2542.19	1.48148
2544.09	1.47673
2546.24	1.47198
2548.19	1.46742
2550.15	1.46274
2552.3	1.45774
2554.3	1.45308
2556.16	1.4484
2558.2	1.44361
2560.19	1.43864
2562.33	1.4331
2564.2	1.42848
2566.17	1.42328
2568.36	1.41756
2570.31	1.41244
2572.23	1.4072
2574.16	1.4019
2576.36	1.39603
2578.39	1.39051
2580.26	1.38507
2582.32	1.37906
2584.34	1.37345
2586.2	1.3676
2588.25	1.36183
2590.29	1.35547
2592.35	1.34959
2594.24	1.34349
2596.2	1.3369
2598.39	1.33077
2600.34	1.32425
2602.3	1.3183
2604.31	1.31156
2606.5	1.30453
2608.5	1.29807
2610.31	1.29151
2612.46	1.28456
2614.4	1.27758
