Frequency - Phase	Phase - Phase
1811.62	110.87
1801.96	21.711
1804	21.7054
1806.09	21.7217
1808.08	21.69
1809.91	-217.494
1812.03	-217.497
1814.03	21.5346
1816.16	21.5537
1817.91	21.5162
1820.04	21.5025
1822.1	21.4579
1824.17	21.4819
1825.99	21.4239
1828.03	21.2649
1830.06	21.4026
1831.91	21.3463
1834.02	21.3166
1836.02	21.2738
1838.04	21.3278
1839.97	21.2174
1842	21.1623
1844.06	21.2055
1846.16	-217.945
1847.98	-217.909
1850.05	-217.983
1852.08	21.1392
1854.13	21.1026
1855.96	21.1393
1858.08	-218.047
1860.05	21.0412
1862.15	21.056
1863.97	20.8519
1866.09	20.9601
1868.05	-218.156
1869.98	-218.269
1872.01	20.7456
1874.02	20.8597
1876.06	20.8619
1878.01	20.807
1880.02	-218.393
1882.02	-218.317
1884.08	20.7054
1885.84	20.6626
1888.02	20.7147
1890.07	20.7168
1892.14	-218.493
1893.92	20.6573
1895.99	20.4988
1898.07	-218.608
1900.1	20.4949
1901.99	-218.688
1903.96	20.4015
1906.07	20.5122
1907.94	-218.648
1909.92	-218.749
1912.05	20.2973
1914.06	-218.723
1915.95	20.1791
1917.95	20.1925
1919.98	-218.834
1922.06	20.2819
1923.89	20.1687
1925.97	20.1016
1928	20.1902
1930.04	20.2084
1931.89	20.1743
1934.01	20.0875
1936.07	19.9626
1938.08	19.9254
1939.93	20.0191
1942.03	19.8397
1944.04	19.8717
1946.16	19.7915
1947.92	-219.198
1950	19.7398
1952	19.7459
1953.94	19.7745
1955.97	19.7045
1957.92	-219.372
1960.05	19.7877
1961.92	19.6075
1963.96	19.5729
1965.93	-219.506
1968.12	-219.486
1969.91	-219.583
1971.96	19.4523
1974.01	19.402
1976.14	19.4035
1977.98	-219.575
1979.99	19.3065
1982.02	19.3542
1984.04	19.2916
1986.03	-219.882
1988.02	-219.87
1990	19.246
1991.86	-219.772
1994.03	19.1407
1996.08	-219.975
1998.09	19.0387
1999.92	19.0392
2001.93	18.9888
2003.9	19.0074
2006.11	18.8223
2007.98	18.9067
2009.88	139.747
2012	139.816
2013.99	139.747
2015.84	18.7961
2017.92	18.775
2019.88	18.7466
2022.07	18.7275
2023.91	18.6433
2025.9	18.6336
2027.96	18.5525
2029.85	139.621
2031.79	18.5843
2034.05	18.4412
2036.04	18.4272
2037.88	18.495
2039.93	18.3962
2041.91	18.2656
2043.95	18.3279
2045.8	18.2933
2047.83	18.2449
2049.9	18.2185
2052.01	18.2287
2053.87	18.1486
2055.88	18.0782
2057.96	18.0398
2060.04	139.046
2061.91	18.0146
2063.94	17.9658
2065.97	17.97
2067.79	17.8662
2069.91	17.8223
2071.95	17.6971
2073.92	138.765
2075.93	138.794
2077.82	17.7846
2079.89	17.6537
2082.02	17.5967
2083.85	17.5372
2085.95	17.5368
2087.94	138.482
2090.01	17.4875
2091.78	17.4899
2093.86	17.4398
2095.93	138.328
2098.08	138.404
2099.91	17.1358
2102.02	17.204
2104.04	17.159
2106.05	17.0149
2107.92	17.1354
2109.88	17.0926
2111.95	17.1511
2113.82	16.9835
2115.87	16.9563
2117.92	16.9038
2119.95	16.7525
2121.84	16.8356
2123.96	16.6271
2125.94	16.6108
2127.96	16.6436
2129.8	16.6791
2131.94	16.5359
2133.99	16.5567
2135.96	16.5841
2137.91	16.4566
2139.89	16.3557
2141.97	16.3642
2144	16.3859
2145.85	16.1973
2147.93	16.2503
2149.99	137.154
2151.77	16.0779
2153.92	137.103
2155.91	136.956
2157.95	16.0859
2159.8	15.8547
2161.81	136.996
2163.88	15.7977
2165.95	15.7793
2167.84	136.87
2169.82	15.7677
2171.97	136.734
2173.97	15.5511
2175.81	136.542
2177.93	15.5966
2179.92	136.63
2182.05	15.3887
2183.82	15.3648
2185.88	15.2495
2187.93	15.2044
2189.84	136.263
2191.87	136.173
2193.94	136.061
2195.91	136.011
2197.77	15.0361
2199.85	14.883
2201.83	14.8944
2203.89	14.8935
2205.85	135.904
2207.89	14.7622
2209.93	14.64
2211.95	14.572
2213.81	135.644
2215.86	14.5154
2217.94	14.5001
2219.98	135.506
2221.88	135.395
2223.84	14.293
2225.98	135.33
2227.78	135.306
2229.84	135.186
2231.87	14.076
2233.95	13.8681
2235.79	13.8662
2237.75	13.9407
2239.91	13.788
2241.95	13.7627
2243.78	13.7637
2245.84	13.6212
2247.95	134.676
2249.97	134.71
2251.88	134.56
2253.86	13.4009
2255.92	134.457
2257.93	13.2768
2259.82	13.1429
2261.87	13.1753
2263.93	134.134
2265.85	13.0996
2267.83	134.158
2269.87	134.101
2271.92	12.8693
2273.83	12.8062
2275.83	12.7248
2277.85	12.5051
2279.99	12.6658
2281.84	12.5801
2283.87	12.4658
2285.93	12.4439
2288.02	12.301
2289.88	12.2829
2291.86	12.2292
2295.97	12.0515
2297.88	11.8844
2299.92	133.04
2303.97	11.7549
2305.84	11.6706
2307.88	132.739
2309.97	11.4856
2311.82	11.3687
2313.84	11.4306
2315.97	11.2992
2318	11.1495
2319.83	132.544
2321.91	11.2113
2323.92	132.276
2325.92	11.0209
2327.81	10.8753
2329.97	132.068
2331.93	10.7217
2333.96	131.939
2335.88	10.6308
2337.95	10.5512
2339.94	10.3836
2341.97	10.3254
2343.9	10.179
2345.94	10.1108
2347.99	10.0458
2349.82	10.0355
2351.83	9.97686
2353.89	9.91532
2355.99	131.055
2357.85	131.003
2359.88	9.50167
2361.92	9.51576
2364	130.707
2365.86	9.41531
2367.92	9.29275
2369.91	9.16526
