Frequency - Phase	Phase - Phase
1811.62	122.179
1801.96	29.6923
1804	29.6954
1806.09	29.7244
1808.08	29.7296
1809.91	-209.459
1812.03	-209.38
1814.03	29.6622
1816.16	29.7091
1817.91	29.6718
1820.04	29.7005
1822.1	29.6923
1824.17	29.743
1825.99	29.6997
1828.03	29.559
1830.06	29.7121
1831.91	29.664
1834.02	29.6769
1836.02	29.6405
1838.04	29.7044
1839.97	29.6115
1842	29.5972
1844.06	29.6794
1846.16	-209.43
1847.98	-209.391
1850.05	-209.416
1852.08	29.7213
1854.13	29.6978
1855.96	29.7731
1858.08	-209.403
1860.05	29.7178
1862.15	29.7721
1863.97	29.5657
1866.09	29.7216
1868.05	-209.387
1869.98	-209.465
1872.01	29.5672
1874.02	29.6904
1876.06	29.7456
1878.01	29.7128
1880.02	-209.472
1882.02	-209.394
1884.08	29.6702
1885.84	29.6194
1888.02	29.757
1890.07	29.7769
1892.14	-209.409
1893.92	29.7398
1895.99	29.6127
1898.07	-209.432
1900.1	29.6758
1901.99	-209.499
1903.96	29.6196
1906.07	29.7625
1907.94	-209.36
1909.92	-209.455
1912.05	29.6395
1914.06	-209.364
1915.95	29.5562
1917.95	29.5906
1919.98	-209.41
1922.06	29.7834
1923.89	29.6471
1925.97	29.6186
1928	29.7227
1930.04	29.7763
1931.89	29.7504
1934.01	29.729
1936.07	29.6248
1938.08	29.6238
1939.93	29.7102
1942.03	29.6021
1944.04	29.6359
1946.16	29.6119
1947.92	-209.42
1950	29.6185
1952	29.6144
1953.94	29.6837
1955.97	29.6681
1957.92	-209.417
1960.05	29.8102
1961.92	29.6404
1963.96	29.6428
1965.93	-209.399
1968.12	-209.347
1969.91	-209.437
1971.96	29.6518
1974.01	29.6173
1976.14	29.6797
1977.98	-209.292
1979.99	29.5933
1982.02	29.6943
1984.04	29.6548
1986.03	-209.451
1988.02	-209.455
1990	29.6832
1991.86	-209.298
1994.03	29.6739
1996.08	-209.386
1998.09	29.6499
1999.92	29.6288
2001.93	29.6348
2003.9	29.6597
2006.11	29.5507
2007.98	29.6685
2009.88	150.512
2012	150.631
2013.99	150.557
2015.84	29.6546
2017.92	29.6901
2019.88	29.6522
2022.07	29.6881
2023.91	29.6511
2025.9	29.6569
2027.96	29.6292
2029.85	150.701
2031.79	29.6887
2034.05	29.6348
2036.04	29.6457
2037.88	29.768
2039.93	29.6547
2041.91	29.5519
2043.95	29.6288
2045.8	29.6427
2047.83	29.5921
2049.9	29.6521
2052.01	29.7253
2053.87	29.6444
2055.88	29.62
2057.96	29.625
2060.04	150.656
2061.91	29.6816
2063.94	29.6643
2065.97	29.7249
2067.79	29.6108
2069.91	29.6322
2071.95	29.5568
2073.92	150.646
2075.93	150.725
2077.82	29.7317
2079.89	29.6379
2082.02	29.6549
2083.85	29.5939
2085.95	29.6648
2087.94	150.626
2090.01	29.6834
2091.78	29.7086
2093.86	29.6891
2095.93	150.651
2098.08	150.765
2099.91	29.5411
2102.02	29.644
2104.04	29.6328
2106.05	29.5414
2107.92	29.7051
2109.88	29.6798
2111.95	29.7541
2113.82	29.6349
2115.87	29.6384
2117.92	29.6705
2119.95	29.5301
2121.84	29.6779
2123.96	29.5311
2125.94	29.5358
2127.96	29.5938
2129.8	29.6958
2131.94	29.5864
2133.99	29.6552
2135.96	29.688
2137.91	29.6603
2139.89	29.5748
2141.97	29.6363
2144	29.7173
2145.85	29.5463
2147.93	29.6514
2149.99	150.613
2151.77	29.5586
2153.92	150.633
2155.91	150.547
2157.95	29.7447
2159.8	29.5189
2161.81	150.703
2163.88	29.5546
2165.95	29.6046
2167.84	150.746
2169.82	29.6733
2171.97	150.694
2173.97	29.5465
2175.81	150.564
2177.93	29.705
2179.92	150.774
2182.05	29.6225
2183.82	29.6112
2185.88	29.5359
2187.93	29.5231
2189.84	150.673
2191.87	150.633
2193.94	150.567
2195.91	150.546
2197.77	29.6064
2199.85	29.5424
2201.83	29.5794
2203.89	29.635
2205.85	150.713
2207.89	29.6223
2209.93	29.571
2211.95	29.5488
2213.81	150.653
2215.86	29.591
2217.94	29.6512
2219.98	150.689
2221.88	150.64
2223.84	29.5914
2225.98	150.707
2227.78	150.699
2229.84	150.657
2231.87	29.5822
2233.95	29.4211
2235.79	29.4961
2237.75	29.5948
2239.91	29.5414
2241.95	29.5664
2243.78	29.6138
2245.84	29.5302
2247.95	150.674
2249.97	150.752
2251.88	150.658
2253.86	29.5408
2255.92	150.67
2257.93	29.5469
2259.82	29.458
2261.87	29.557
2263.93	150.602
2265.85	29.6296
2267.83	150.739
2269.87	150.73
2271.92	29.5983
2273.83	29.573
2275.83	29.5423
2277.85	29.3862
2279.99	29.6349
2281.84	29.6323
2283.87	29.568
2285.93	29.6025
2288.02	29.5451
2289.88	29.5858
2291.86	29.5848
2295.97	29.5273
2297.88	29.4451
2299.92	150.659
2303.97	29.5143
2305.84	29.502
2307.88	150.649
2309.97	29.4728
2311.82	29.4206
2313.84	29.5719
2315.97	29.5034
2318	29.4214
2319.83	150.875
2321.91	29.6335
2323.92	150.779
2325.92	29.566
2327.81	29.4809
2329.97	150.796
2331.93	29.5
2333.96	150.79
2335.88	29.5732
2337.95	29.5636
2339.94	29.4688
2341.97	29.4821
2343.9	29.4215
2345.94	29.4521
2347.99	29.4627
2349.82	29.537
2351.83	29.5337
2353.89	29.5373
2355.99	150.796
2357.85	150.81
2359.88	29.379
2361.92	29.4685
2364	150.755
2365.86	29.5596
2367.92	29.5423
2369.91	29.4648
2371.97	29.4681
2373.88	29.4172
2375.9	29.4879
2377.94	29.4016
2380.05	29.4763
2381.95	29.5034
2383.94	29.4431
2386.01	29.4622
2387.86	29.4484
2389.89	29.5141
2392	150.875
2393.97	29.4203
2395.83	150.787
2397.94	29.5444
2399.97	29.3805
2402.03	29.3155
2403.97	150.876
2405.94	150.821
2408.01	29.4173
2409.99	29.3135
2411.84	29.4217
2413.94	29.3593
2416.06	29.3638
2418.05	29.4427
2420	29.3836
2421.99	150.832
2424.04	150.853
2425.89	29.5096
2427.94	29.3643
2430.03	150.931
2432.05	29.3643
2433.91	29.3548
2435.89	29.344
2438.04	29.412
2440.04	150.901
2441.89	29.3065
2443.91	-209.115
2446.05	-209.028
2448.11	29.3523
2452.07	29.4227
2454.06	29.3633
2456.05	29.3142
2458.02	29.3213
2460.07	29.4134
2462.09	-209.057
2463.91	29.3383
2466.01	29.3772
2468	-209.019
2470.12	-209.086
2471.99	29.3478
2474.03	29.329
2476.1	-209.014
2478.14	29.3761
2479.9	29.3308
2482.03	-208.955
2484.13	29.3696
2486.08	29.4153
